"","Country","Location","Population","Lat","Lon","PopClass"
"329","US","Bell Island Hot Spri, Alaska",0,55.933,-131.566,1
"330","US","Belmezok, Alaska",0,65.6172,-168.101,1
"331","US","Beluga, Alaska",0,61.1791,-151.024,1
"332","US","Bessie No. 5 Dredge, Alaska",0,64.5502,-165.151,1
"333","US","Biorka, Alaska",0,53.831,-166.208,1
"334","US","Birchwood, Alaska",0,61.4081,-149.481,1
"335","US","Bird, Alaska",0,60.9311,-149.358,1
"336","US","Boswell Bay, Alaska",0,60.4001,-146.133,1
"337","US","Cape Pole, Alaska",0,55.965,-133.798,1
"338","US","Chakaktolik, Alaska",0,61.7711,-163.625,1
"339","US","Chakwaktolik, Alaska",0,61.2291,-163.754,1
"340","US","Chaniliut, Alaska",0,63.0332,-163.417,1
"341","US","Charlieskin Village, Alaska",0,62.9672,-141.816,1
"342","US","Chatham, Alaska",0,57.514,-134.924,1
"343","US","Chisana, Alaska",0,62.0671,-142.049,1
"344","US","Christian, Alaska",0,67.3673,-145.2,1
"345","US","Clear, Alaska",0,64.3332,-149.167,1
"346","US","Clover Pass, Alaska",0,55.472,-131.791,1
"347","US","Cohoe, Alaska",0,60.3671,-151.3,1
"348","US","College, Alaska",0,64.8582,-147.808,1
"349","US","Dutch Harbor, Alaska",0,53.891,-166.535,1
"350","US","Eagle River, Alaska",0,61.3221,-149.567,1
"351","US","Egavik, Alaska",0,64.0332,-160.917,1
"352","US","Egorkovskoi, Alaska",0,53.564,-168,1
"353","US","Elephant Point, Alaska",0,66.2673,-161.333,1
"354","US","Ellamar, Alaska",0,60.8961,-146.708,1
"355","US","English Bay, Alaska",0,59.3581,-151.922,1
"356","US","Eska, Alaska",0,61.7381,-148.906,1
"357","US","Excursion Inlet, Alaska",0,58.417,-135.441,1
"358","US","Ferry, Alaska",0,64.0172,-149.117,1
"359","US","Fish Village, Alaska",0,62.5212,-163.847,1
"360","US","Girdwood, Alaska",0,60.9421,-149.167,1
"361","US","Goodnews, Alaska",0,59.1171,-161.583,1
"362","US","Haycock, Alaska",0,65.2172,-161.167,1
"363","US","Highland Park, Alaska",0,64.7582,-147.371,1
"364","US","Holikachuk, Alaska",0,62.9112,-159.517,1
"365","US","Ikatan, Alaska",0,54.75,-163.308,1
"366","US","Inakpuk, Alaska",0,59.5331,-157.15,1
"367","US","Indian, Alaska",0,60.9881,-149.513,1
"368","US","Indian River, Alaska",0,62.6672,-144.433,1
"369","US","Ingrihak, Alaska",0,61.7561,-162,1
"370","US","Joe Ward Camp, Alaska",0,66.8673,-143.699,1
"371","US","Jonesville, Alaska",0,61.7311,-148.933,1
"372","US","Kakhonak, Alaska",0,59.4421,-154.756,1
"373","US","Kalskag, Alaska",0,61.5391,-160.306,1
"374","US","Kanakanak, Alaska",0,59.0031,-158.533,1
"375","US","Kashega, Alaska",0,53.467,-167.16,1
"376","US","Kashegelok, Alaska",0,60.8331,-157.833,1
"377","US","Kathakne, Alaska",0,62.9692,-141.832,1
"378","US","Kepangalook, Alaska",0,60.8501,-161.617,1
"379","US","Kinegnak, Alaska",0,58.8331,-161.667,1
"380","US","Kiwalik, Alaska",0,66.0333,-161.833,1
"381","US","Klery Creek, Alaska",0,67.1793,-160.4,1
"382","US","Kokrines, Alaska",0,64.9332,-154.7,1
"383","US","Kustatan, Alaska",0,60.7171,-151.75,1
"384","US","Kvichak, Alaska",0,58.9671,-156.933,1
"385","US","Kwiguk, Alaska",0,62.7582,-164.5,1
"386","US","Last Tetlin Village, Alaska",0,63.0332,-142.616,1
"387","US","Latouche, Alaska",0,60.0511,-147.9,1
"388","US","Lemeta, Alaska",0,64.8582,-147.725,1
"389","US","Lena Beach, Alaska",0,58.393,-134.746,1
"390","US","Libbyville, Alaska",0,58.7781,-157.056,1
"391","US","Loring, Alaska",0,55.603,-131.632,1
"392","US","Lucky Shot Landing, Alaska",0,61.7751,-149.408,1
"393","US","Mansfield Village, Alaska",0,63.4672,-143.433,1
"394","US","Matanuska, Alaska",0,61.5421,-149.229,1
"395","US","Meade River, Alaska",0,70.4674,-157.4,1
"396","US","Meakerville, Alaska",0,60.5421,-145.008,1
"397","US","Morzhovoi, Alaska",0,54.91,-163.303,1
"398","US","Moses Point, Alaska",0,64.7002,-162.033,1
"399","US","Myers Chuck, Alaska",0,55.742,-132.253,1
"400","US","Nakeen, Alaska",0,58.9361,-157.038,1
"401","US","Napaimiut, Alaska",0,61.5421,-158.692,1
"402","US","Nash Harbor, Alaska",0,60.2041,-166.939,1
"403","US","New Knockhock, Alaska",0,62.1291,-164.894,1
"404","US","Nilikluguk, Alaska",0,60.6501,-165.15,1
"405","US","Northway Indian Vill, Alaska",0,62.9832,-141.949,1
"406","US","Nyac, Alaska",0,61.0061,-159.946,1
"407","US","Old Minto, Alaska",0,64.8882,-149.182,1
"408","US","Osviak, Alaska",0,58.8171,-161.3,1
"409","US","Pastolik, Alaska",0,62.9972,-163.304,1
"410","US","Pennock Island, Alaska",0,55.328,-131.628,1
"411","US","pile bay village, Alaska",0,59.7789,-153.8819,1
"412","US","Port Ashton, Alaska",0,60.0581,-148.05,1
"413","US","Portage, Alaska",0,60.8381,-148.979,1
"414","US","Rainbow, Alaska",0,61.0041,-149.642,1
"415","US","Refuge Cove, Alaska",0,55.407,-131.741,1
"416","US","Salt Chuck, Alaska",0,55.628,-132.552,1
"417","US","Savonoski, Alaska",0,58.7171,-156.867,1
"418","US","Slaterville, Alaska",0,64.8532,-147.717,1
"419","US","Spenard, Alaska",0,61.1881,-149.917,1
"420","US","Sterling, Alaska",0,60.5381,-150.758,1
"421","US","Summit, Alaska",0,63.3292,-149.119,1
"422","US","Sunrise, Alaska",0,60.8921,-149.425,1
"423","US","Suntrana, Alaska",0,63.8582,-148.846,1
"424","US","Tanunak, Alaska",0,60.5851,-165.256,1
"425","US","Tee Harbor, Alaska",0,58.41,-134.757,1
"426","US","Teller Mission, Alaska",0,65.3332,-166.484,1
"427","US","Tetlin Junction, Alaska",0,63.3172,-142.599,1
"428","US","Thane, Alaska",0,58.264,-134.328,1
"429","US","Tin City, Alaska",0,65.5502,-167.851,1
"430","US","Tokeen, Alaska",0,55.938,-133.324,1
"431","US","Tolovana, Alaska",0,64.8542,-149.824,1
"432","US","Ukivok, Alaska",0,64.9672,-168.068,1
"433","US","Umiat, Alaska",0,69.3674,-152.133,1
"434","US","Umnak, Alaska",0,53.267,-168.217,1
"435","US","Utukakarvik, Alaska",0,61.9611,-164.75,1
"436","US","Ward Cove, Alaska",0,55.408,-131.724,1
"437","US","St. Mary's, Alaska",0,62.0331,-163.25,1
"438","US","Salcha, Alaska",0,64.5288,-146.899,1
"439","US","Kalifornsky, Alaska",0,60.4412,-151.198,1
"440","US","Point Mac Kenzie, Alaska",0,61.3638,-149.982,1
"441","US","Bodenburg Butte, Alaska",0,61.5495,-149.047,1
"442","US","Moose Creek, Alaska",0,61.6802,-149.038,1
"443","US","Douglas, Alaska",0,58.2762,-134.392,1
"444","CA","Buffalo Point, Manitoba",141,49.0117,-95.2384,1
"445","CA","Middlebro, Manitoba",25,49.0205,-95.439,1
"446","CA","Sprague, Manitoba",75,49.0353,-95.6392,1
"447","CA","South Junction, Manitoba",50,49.0406,-95.7656,1
"448","CA","Vassar, Manitoba",50,49.0978,-95.8314,1
"449","CA","Piney, Manitoba",25,49.0753,-95.9783,1
"450","CA","Sundown, Manitoba",50,49.1036,-96.2667,1
"451","CA","Caliento, Manitoba",25,49.1336,-96.415,1
"452","CA","Vita, Manitoba",300,49.1339,-96.5614,1
"453","CA","Gardenton, Manitoba",25,49.0869,-96.695,1
"454","CA","Stuartburn, Manitoba",25,49.1336,-96.7631,1
"455","CA","Tolstoi, Manitoba",50,49.0744,-96.8111,1
"456","CA","Ridgeville, Manitoba",25,49.0658,-97.0119,1
"457","CA","Roseau River, Manitoba",50,49.1842,-96.8256,1
"458","CA","Roseau River Anishinabe, Manitoba",125,49.2108,-96.9397,1
"459","CA","Carlowrie, Manitoba",10,49.2519,-96.9619,1
